market,date,price,
全国住宅着工件数,1980/1/1,116429,
日本政府債務残高,1980/1/1,122341.9,
DI先行指数,1980/1/1,54.5,
DI一致指数,1980/1/1,75,
DI遅行指数,1980/1/1,83.3,
CPI_日本,1980/1/1,70.3,
失業率_日本,1980/1/1,2.02,
鉱工業生産指数,1980/1/1,80.2,
鉱工業出荷指数,1980/1/1,78.9,
鉱工業在庫指数,1980/1/1,62.7,
米国GDP,1980/1/1,2857.33,
全国住宅着工件数,1980/2/1,111453,
日本政府債務残高,1980/2/1,122341.9,
DI先行指数,1980/2/1,54.5,
DI一致指数,1980/2/1,90,
DI遅行指数,1980/2/1,94.4,
CPI_日本,1980/2/1,70.9,
失業率_日本,1980/2/1,2.02,
鉱工業生産指数,1980/2/1,83.2,
鉱工業出荷指数,1980/2/1,81.1,
鉱工業在庫指数,1980/2/1,61.7,
米国GDP,1980/2/1,2857.33,
全国住宅着工件数,1980/3/1,119141,
日本政府債務残高,1980/3/1,122341.9,
DI先行指数,1980/3/1,45.5,
DI一致指数,1980/3/1,75,
DI遅行指数,1980/3/1,88.9,
CPI_日本,1980/3/1,71.3,
失業率_日本,1980/3/1,2.02,
鉱工業生産指数,1980/3/1,81,
鉱工業出荷指数,1980/3/1,78.4,
鉱工業在庫指数,1980/3/1,64.5,
米国GDP,1980/3/1,2857.33,
全国住宅着工件数,1980/4/1,117297,
日本政府債務残高,1980/4/1,122341.9,
DI先行指数,1980/4/1,40.9,
DI一致指数,1980/4/1,95,
DI遅行指数,1980/4/1,77.8,
CPI_日本,1980/4/1,72.6,
失業率_日本,1980/4/1,2.02,
鉱工業生産指数,1980/4/1,82.3,
鉱工業出荷指数,1980/4/1,80.1,
鉱工業在庫指数,1980/4/1,63.4,
米国GDP,1980/4/1,2857.33,
全国住宅着工件数,1980/5/1,110975,
日本政府債務残高,1980/5/1,122341.9,
DI先行指数,1980/5/1,36.4,
DI一致指数,1980/5/1,35,
DI遅行指数,1980/5/1,55.6,
CPI_日本,1980/5/1,73.2,
失業率_日本,1980/5/1,2.02,
鉱工業生産指数,1980/5/1,81.7,
鉱工業出荷指数,1980/5/1,78.9,
鉱工業在庫指数,1980/5/1,66.5,
米国GDP,1980/5/1,2857.33,
全国住宅着工件数,1980/6/1,106268,
日本政府債務残高,1980/6/1,122341.9,
DI先行指数,1980/6/1,45.5,
DI一致指数,1980/6/1,50,
DI遅行指数,1980/6/1,83.3,
CPI_日本,1980/6/1,73.5,
失業率_日本,1980/6/1,2.02,
